Rotation,PartGroup,Part_Number,Supplier,Location Pick,Model,Date,Time
0003,GROUP 09L,N1VB-16451-AC,ARK,PF-04,U704,30/01/2026,08:03:54
0003,GROUP 10,N1VB-E044D70-HHSMZ8,SI,PI-02-2,U704,30/01/2026,08:03:54
0003,GROUP 10,N1WB-E04652-PA3ZHE,SI,PJ-01-1,U704,30/01/2026,08:03:54
0003,GROUP 11,N1VB-E045B58-HMSMZ8,SI,PX-SPECIAL,U704,30/01/2026,08:03:54
0004,GROUP 01,RB3T-14290-XRC,SEWT,PX-OBSOLETEPART,U704,30/01/2026,08:05:51
0004,GROUP 07,RB3T-14A005-KAMC,SEWT,PX-OBSOLETEPART,U704,30/01/2026,08:05:51
0004,GROUP 01,P1VT-14630-URF,SEWT,PA-21-3,U704,30/01/2026,08:05:51
0004,GROUP 01,P1VT-14631-URF,SEWT,PA-16-2,U704,30/01/2026,08:05:51
0004,GROUP 01,P1VT-14632-UAG,SEWT,PA-24-1,U704,30/01/2026,08:05:51
0004,GROUP 01,P1VT-14633-UAG,SEWT,PA-25-1,U704,30/01/2026,08:05:51
0004,GROUP 02,RB3T-14405-UEC,SEWT,PX-OBSOLETEPART,U704,30/01/2026,08:05:51
0004,GROUP 02,PB3T-2B572-PXE,SEWT,PB-39-1,U704,30/01/2026,08:05:51
0004,LOT,MB3T-14301-AF,SEWT,LD-01,U704,30/01/2026,08:05:51
0004,LOT,PB3T-14B060-UAF,SEWT,LD-01,U704,30/01/2026,08:05:51
0004,GROUP 03,PB3T-7C078-BUC,SEWT,PC-19-2,U704,30/01/2026,08:05:51
0004,GROUP 04,R1VT-14401-RXC,SEWT,PX-OBSOLETEPART,U704,30/01/2026,08:05:51
0004,GROUP 04,PB3B-2104545-CC,HAS,PD-01,U704,30/01/2026,08:05:51
0004,GROUP 06L,N1WB-13E017-BH,TK,PH-04,U704,30/01/2026,08:05:51
0004,GROUP 06R,N1WB-13E016-BH,TK,PG-04,U704,30/01/2026,08:05:51
0004,GROUP 07,RB3T-14A005-KAMC,SEWT,PX-OBSOLETEPART,U704,30/01/2026,08:05:51
0004,LOT,PB3T-2B325-UEE,SEWT,LD-01,U704,30/01/2026,08:05:51
0004,GROUP 09R,N1VB-16450-CC,ARK,PE-03,U704,30/01/2026,08:05:51
0004,GROUP 09L,N1VB-16451-CC,ARK,PE-04,U704,30/01/2026,08:05:51
0004,GROUP 10,N1WB-E044D70-KLSM0A,SI,PI-02-1,U704,30/01/2026,08:05:51
0004,GROUP 10,N1WB-E04652-PA3ZHE,SI,PJ-01-1,U704,30/01/2026,08:05:51
0004,GROUP 11,N1WB-E045B58-KNSM0A,SI,PX-SPECIAL,U704,30/01/2026,08:05:51
0005,GROUP 01,RB3T-14290-XUC,SEWT,PX-OBSOLETEPART,U704,30/01/2026,08:07:48
0005,GROUP 07,RB3T-14A005-UDEC,SEWT,PB-12,U704,30/01/2026,08:07:48
0005,GROUP 01,P1VT-14630-VSF,SEWT,PA-15-2,U704,30/01/2026,08:07:48
0005,GROUP 01,P1VT-14631-UUE,SEWT,PA-23-2,U704,30/01/2026,08:07:48
0005,GROUP 01,P1VT-14632-UCF,SEWT,PA-16-1,U704,30/01/2026,08:07:48
0005,GROUP 01,P1VT-14633-UCF,SEWT,PA-17-1,U704,30/01/2026,08:07:48
0005,GROUP 02,RB3T-14405-VXC,SEWT,PB-49,U704,30/01/2026,08:07:48
0005,GROUP 02,PB3T-2B572-PXE,SEWT,PB-39-1,U704,30/01/2026,08:07:48
0005,LOT,MB3T-14301-AF,SEWT,LD-01,U704,30/01/2026,08:07:48
0005,LOT,PB3T-14B060-UAF,SEWT,LD-01,U704,30/01/2026,08:07:48
0005,GROUP 03,PB3T-7C078-BUC,SEWT,PC-19-2,U704,30/01/2026,08:07:48
0005,GROUP 04,R1VT-14401-KAC,SEWT,PX-OBSOLETEPART,U704,30/01/2026,08:07:48
0005,GROUP 04,PB3B-2104545-CC,HAS,PD-01,U704,30/01/2026,08:07:48
0005,GROUP 06L,N1WB-13E015-DF,TK,PH-01,U704,30/01/2026,08:07:48
0005,GROUP 06R,N1WB-13E014-DF,TK,PG-01,U704,30/01/2026,08:07:48
0005,GROUP 07,RB3T-14A005-UDEC,SEWT,PB-12,U704,30/01/2026,08:07:48
0005,LOT,PB3T-2B325-UDE,SEWT,LD-01,U704,30/01/2026,08:07:48
0005,GROUP 09R,N1VB-16450-AC,ARK,PF-03,U704,30/01/2026,08:07:48
0005,GROUP 09L,N1VB-16451-AC,ARK,PF-04,U704,30/01/2026,08:07:48
0005,GROUP 10,N1VB-E044D70-HHSMZ8,SI,PI-02-2,U704,30/01/2026,08:07:48
0005,GROUP 10,N1WB-E04652-PA3ZHE,SI,PJ-01-1,U704,30/01/2026,08:07:48
0005,GROUP 11,N1VB-E045B58-HMSMZ8,SI,PX-SPECIAL,U704,30/01/2026,08:07:48
0006,GROUP 01,RB3T-14290-RTGC,SEWT,PX-OBSOLETEPART,P703,30/01/2026,08:09:45
0006,GROUP 07,RB3T-14A005-CCBC,SEWT,PX-OBSOLETEPART,P703,30/01/2026,08:09:45
0006,GROUP 01,P1WT-14630-BEF,SEWT,PA-17-2,P703,30/01/2026,08:09:45
0006,GROUP 01,P1WT-14631-FCF,SEWT,PA-18-2,P703,30/01/2026,08:09:45
0006,GROUP 01,P1WT-14632-DAF,SEWT,PX-OBSOLETEPART,P703,30/01/2026,08:09:45
0006,GROUP 01,P1WT-14633-DAE,SEWT,PX-OBSOLETEPART,P703,30/01/2026,08:09:45
0006,GROUP 02,RB3T-14405-ACC,SEWT,PX-OBSOLETEPART,P703,30/01/2026,08:09:45
0006,GROUP 02,PB3T-2B572-PAF,SEWT,PB-39-3,P703,30/01/2026,08:09:45
0006,LOT,MB3T-14301-AF,SEWT,LD-01,P703,30/01/2026,08:09:45
0006,LOT,PB3T-14B060-PDF,SEWT,LD-01,P703,30/01/2026,08:09:45
0006,GROUP 03,PB3T-7C078-GAB,SEWT,PX-OBSOLETEPART,P703,30/01/2026,08:09:45
0006,GROUP 04,R1WT-14401-XPDC,SEWT,PX-OBSOLETEPART,P703,30/01/2026,08:09:45
0006,GROUP 04,PB3B-2104545-FC,HAS,PD-03,P703,30/01/2026,08:09:45
0006,GROUP 05,N1WB-E13000-BL3JA6,HTT,PX-OBSOLETEPART,P703,30/01/2026,08:09:45
0006,GROUP 06L,N1WB-13W030-BD,TK,PX-NEWMODEL,P703,30/01/2026,08:09:45
0006,GROUP 06R,N1WB-13W029-BD,TK,PX-NEWMODEL,P703,30/01/2026,08:09:45
0006,GROUP 07,RB3T-14A005-CCBC,SEWT,PX-OBSOLETEPART,P703,30/01/2026,08:09:45
0006,LOT,PB3T-2B325-AAE,SEWT,LD-01,P703,30/01/2026,08:09:45
0006,GROUP 10,N1WB-E044D70-BJ3ZHE,SI,PI-08-1,P703,30/01/2026,08:09:45
0006,GROUP 10,N1WB-E04652-BE3ZHE,SI,PJ-04-1,P703,30/01/2026,08:09:45
0006,GROUP 11,N1WB-E045B58-BG3ZHE,SI,PL-07-2,P703,30/01/2026,08:09:45
0006,GROUP 11,N1WB-E046A34-BE3ZHE,SI,PL-01-1,P703,30/01/2026,08:09:45
0007,GROUP 01,RB3T-14290-XUC,SEWT,PX-OBSOLETEPART,U704,30/01/2026,08:11:42
0007,GROUP 07,RB3T-14A005-UDEC,SEWT,PB-12,U704,30/01/2026,08:11:42
0007,GROUP 01,P1VT-14630-VSF,SEWT,PA-15-2,U704,30/01/2026,08:11:42
0007,GROUP 01,P1VT-14631-UUE,SEWT,PA-23-2,U704,30/01/2026,08:11:42
0007,GROUP 01,P1VT-14632-UCF,SEWT,PA-16-1,U704,30/01/2026,08:11:42
0007,GROUP 01,P1VT-14633-UCF,SEWT,PA-17-1,U704,30/01/2026,08:11:42
0007,GROUP 02,RB3T-14405-VXC,SEWT,PB-49,U704,30/01/2026,08:11:42
0007,GROUP 02,PB3T-2B572-PXE,SEWT,PB-39-1,U704,30/01/2026,08:11:42
0007,LOT,MB3T-14301-AF,SEWT,LD-01,U704,30/01/2026,08:11:42
0007,LOT,PB3T-14B060-UAF,SEWT,LD-01,U704,30/01/2026,08:11:42
0007,GROUP 03,PB3T-7C078-BUC,SEWT,PC-19-2,U704,30/01/2026,08:11:42
0007,GROUP 04,R1VT-14401-KAC,SEWT,PX-OBSOLETEPART,U704,30/01/2026,08:11:42
0007,GROUP 04,PB3B-2104545-CC,HAS,PD-01,U704,30/01/2026,08:11:42
0007,GROUP 06L,N1WB-13E015-DF,TK,PH-01,U704,30/01/2026,08:11:42
0007,GROUP 06R,N1WB-13E014-DF,TK,PG-01,U704,30/01/2026,08:11:42
0007,GROUP 07,RB3T-14A005-UDEC,SEWT,PB-12,U704,30/01/2026,08:11:42
0007,LOT,PB3T-2B325-UDE,SEWT,LD-01,U704,30/01/2026,08:11:42
0007,GROUP 09R,N1VB-16450-AC,ARK,PF-03,U704,30/01/2026,08:11:42
0007,GROUP 09L,N1VB-16451-AC,ARK,PF-04,U704,30/01/2026,08:11:42
0007,GROUP 10,N1VB-E044D70-HHSMZ8,SI,PI-02-2,U704,30/01/2026,08:11:42
0007,GROUP 10,N1WB-E04652-PA3ZHE,SI,PJ-01-1,U704,30/01/2026,08:11:42
0007,GROUP 11,N1VB-E045B58-HMSMZ8,SI,PX-SPECIAL,U704,30/01/2026,08:11:42
0008,GROUP 01,RB3T-14290-VDC,SEWT,PA-28-3,U704,30/01/2026,08:13:39
0008,GROUP 07,RB3T-14A005-KAXC,SEWT,PB-32-1,U704,30/01/2026,08:13:39
0008,GROUP 01,P1VT-14630-UBD,SEWT,PA-15-3,U704,30/01/2026,08:13:39
0008,GROUP 01,P1VT-14631-UDD,SEWT,PA-16-3,U704,30/01/2026,08:13:39
0008,GROUP 01,P1VT-14632-UBF,SEWT,PA-20-1,U704,30/01/2026,08:13:39
0008,GROUP 01,P1VT-14633-UBF,SEWT,PA-21-1,U704,30/01/2026,08:13:39
0008,GROUP 02,RB3T-14405-UFC,SEWT,PB-34-4,U704,30/01/2026,08:13:39
0008,GROUP 02,PB3T-2B572-PXE,SEWT,PB-39-1,U704,30/01/2026,08:13:39
0008,LOT,MB3T-14301-AF,SEWT,LD-01,U704,30/01/2026,08:13:39
0008,LOT,PB3T-14B060-NBD,SEWT,LD-01,U704,30/01/2026,08:13:39
0008,GROUP 04,R1VT-14401-CXC,SEWT,PC-14-3,U704,30/01/2026,08:13:39
0008,GROUP 04,PB3B-2104545-EC,HAS,PD-02,U704,30/01/2026,08:13:39
0008,GROUP 06L,N1WB-13E015-CF,TK,PH-02,U704,30/01/2026,08:13:39
0008,GROUP 06R,N1WB-13E014-CF,TK,PG-02,U704,30/01/2026,08:13:39
0008,GROUP 07,RB3T-14A005-KAXC,SEWT,PB-32-1,U704,30/01/2026,08:13:39
0008,LOT,PB3T-2B325-UPC,SEWT,LD-01,U704,30/01/2026,08:13:39
0008,GROUP 09R,N1VB-16450-AC,ARK,PF-03,U704,30/01/2026,08:13:39
0008,GROUP 09L,N1VB-16451-AC,ARK,PF-04,U704,30/01/2026,08:13:39
0008,GROUP 10,N1VB-E044D70-EG31TR,SI,PI-03-1,U704,30/01/2026,08:13:39
0008,GROUP 10,N1WB-E04652-LA3ZHE,SI,PJ-02-2,U704,30/01/2026,08:13:39
